Id,diagonal,height_left,height_right,margin_low,margin_up,length,is_genuine,Probability of Prediction,Prediction
A_1,171.81,104.67,104.66,4.52,2.89,112.83,True,0.7570130344579235,True
A_2,171.46,103.36,103.66,3.77,2.99,113.09,True,0.9997854456945895,True
A_3,172.61,104.48,103.5,4.4,2.94,113.16,True,0.9990665705185217,True
A_4,171.36,103.91,103.94,3.62,3.01,113.51,True,0.999926217192367,True
A_5,171.73,104.28,103.46,4.04,3.48,112.54,True,0.7064167990270579,True
A_6,172.17,103.74,104.08,4.42,2.95,112.81,True,0.9795362704615398,True
A_7,172.34,104.18,103.85,4.58,3.26,112.81,True,0.7727660927690896,True
A_8,171.88,103.76,104.08,3.98,2.92,113.08,True,0.9989986562788181,True
A_9,172.47,103.92,103.67,4.0,3.25,112.85,True,0.9914503726985991,True
A_10,172.47,104.07,104.02,4.04,3.25,113.45,True,0.998275809259069,True
A_11,171.83,104.14,103.62,3.41,3.18,113.22,True,0.9998483401975474,True
A_12,171.84,104.59,104.0,3.88,3.27,113.08,True,0.9824325966279602,True
A_13,171.89,103.89,103.4,4.11,2.96,113.24,True,0.9998134673864852,True
A_14,172.2,104.35,103.67,4.44,3.38,113.65,True,0.9940840764433383,True
A_15,172.06,103.87,103.83,4.09,2.92,113.19,True,0.9995605239223051,True
A_16,171.73,103.92,103.74,4.43,2.78,112.98,True,0.998099233885411,True
A_17,171.3,104.19,103.7,4.12,2.82,112.87,True,0.9978443316193625,True
A_18,171.88,104.47,103.45,4.56,3.33,113.01,True,0.8920575489747767,True
A_19,172.47,103.89,104.14,3.74,3.28,113.47,True,0.9993346807797083,True
A_20,171.9,103.67,103.15,4.55,3.15,113.12,True,0.9966223971626439,True
A_21,171.87,103.91,103.96,3.74,2.97,113.59,True,0.9999603691277896,True
A_22,171.82,103.65,103.64,4.25,2.8,112.57,True,0.9959790343442877,True
A_23,172.1,103.96,103.71,3.93,2.89,112.68,True,0.9984027709931841,True
A_24,172.56,103.85,103.62,3.41,3.13,113.37,True,0.9999810761409232,True
A_25,172.22,103.75,103.89,4.18,3.19,113.34,True,0.9978753784030461,True
A_26,172.09,103.63,103.33,4.32,2.88,113.46,True,0.9999558803785578,True
A_27,171.83,103.44,103.7,4.15,3.1,113.47,True,0.9996789385885168,True
A_28,171.88,103.92,103.74,4.02,3.17,113.76,True,0.9998634729089391,True
A_29,172.02,104.18,104.16,3.97,3.23,113.64,True,0.9988781214851863,True
A_30,171.58,103.59,103.79,4.1,2.92,113.56,True,0.9999176362619936,True
